Aareal Bank AG (AAALF) Balance Sheet
Fiscal year ends in December. ,2010-09,2010-12,2011-03,2011-06,2011-09
Assets
Trading assets,614000000,428000000,520000000,545000000,465000000
Debt securities,-614000000,-428000000,-520000000,-545000000,-465000000
Premises and equipment,95000000,95000000,95000000,97000000,98000000
Other intangible assets,71000000,91000000,90000000,88000000,85000000
Other assets,42365000000,41031000000,39731000000,40682000000,41368000000
Total assets,42531000000,41217000000,39916000000,40867000000,41551000000
Liabilities and stockholders' equity
Liabilities
Deposits,28932000000,28014000000,27938000000,27604000000,27916000000
Other liabilities,11651000000,11218000000,9981000000,11068000000,11451000000
Total liabilities,40583000000,39232000000,37919000000,38672000000,39367000000
Stockholders' equity
Retained earnings,807000000,836000000,860000000,881000000,903000000
Accumulated other comprehensive income,1141000000,1149000000,1137000000,1314000000,1281000000
Total stockholders' equity,1948000000,1985000000,1997000000,2195000000,2184000000
Total liabilities and stockholders' equity,42531000000,41217000000,39916000000,40867000000,41551000000
